108,Stephen Curry,37,GSW,PG,10,10,303,23.2,.624,.584,.326,0.7,12.5,6.6,24.5,2.4,1.5,10.3,34.1,0.6,0.4,1.0,.156,5.3,-0.3,5.0,0.5,,curryst01
109,Shaedon Sharpe,22,POR,SG,11,11,301,16.8,.547,.405,.263,5.5,15.8,10.3,9.4,2.6,0.6,12.8,32.1,-0.1,0.3,0.3,.044,-0.1,-1.2,-1.3,0.1,,sharpsh01
110,Svi Mykhailiuk,28,UTA,SF,11,11,300,11.3,.623,.727,.068,3.6,7.9,5.7,10.4,1.1,0.7,9.0,13.5,0.4,0.1,0.5,.074,-0.1,-1.0,-1.0,0.1,,mykhasv01
111,Nickeil Alexander-Walker,27,ATL,SG,10,7,300,13.5,.570,.447,.326,2.2,8.0,5.2,16.1,1.4,2.8,15.2,25.1,-0.1,0.4,0.3,.047,-0.6,-0.7,-1.3,0.0,,alexani01
112,Naji Marshall,28,DAL,SF,12,0,297,14.3,.608,.373,.518,2.5,15.5,9.0,14.6,2.4,0.0,9.7,15.9,0.4,0.5,0.9,.141,-2.0,1.5,-0.5,0.1,,marshna01
113,Aaron Gordon,30,DEN,PF,10,10,297,20.4,.690,.425,.417,5.3,14.6,10.3,7.5,1.3,0.3,10.1,22.5,0.9,0.4,1.3,.210,4.0,-1.3,2.8,0.3,,gordoaa01
114,Terance Mann,29,BRK,SG,11,11,295,13.2,.591,.386,.205,6.4,6.2,6.3,20.0,1.8,0.3,9.0,14.2,0.6,-0.1,0.5,.074,-0.8,-1.1,-1.9,0.0,,mannte01
115,Sam Hauser,28,BOS,PF,13,2,294,8.1,.480,.882,.043,3.2,12.7,7.9,7.5,1.2,1.4,8.7,15.0,0.0,0.3,0.3,.044,-1.8,-0.6,-2.4,0.0,,hausesa01
116,Jerami Grant,31,POR,PF,11,0,294,18.2,.649,.447,.561,2.8,9.7,6.0,12.5,1.9,1.5,11.0,23.3,0.8,0.3,1.0,.167,1.9,0.3,2.1,0.3,,grantje01
117,Jabari Smith Jr.,22,HOU,PF,9,9,293,13.3,.556,.442,.221,3.6,17.0,10.6,6.9,1.3,2.7,8.1,17.5,0.4,0.4,0.7,.122,-0.6,-0.6,-1.2,0.1,,smithja05
118,Luka Dončić,26,LAL,PG,8,8,293,29.0,.606,.476,.466,3.0,25.8,14.9,43.7,2.3,1.0,11.9,38.3,0.9,0.4,1.3,.210,8.4,1.2,9.6,0.9,,doncilu01
119,Ryan Dunn,23,PHO,SF,12,8,292,13.8,.553,.429,.121,9.6,15.3,12.4,10.2,2.2,3.3,11.1,15.4,0.3,0.4,0.6,.105,-1.4,0.1,-1.3,0.1,,dunnry01
120,Saddiq Bey,26,NOP,SF,11,5,292,15.1,.579,.518,.209,5.6,13.5,9.1,9.8,1.2,0.0,4.8,18.3,0.5,0.0,0.5,.074,1.9,-2.8,-0.8,0.1,,beysa01
121,Ryan Kalkbrenner,24,CHO,C,11,11,292,18.8,.841,.017,.183,15.1,14.2,14.6,2.5,1.8,7.9,23.6,12.1,0.5,0.4,0.9,.147,-0.2,1.1,0.9,0.2,,kalkbry01
122,Ausar Thompson,23,DET,SF,10,10,291,16.7,.526,.113,.339,7.3,16.7,12.0,16.8,2.9,2.4,9.6,20.4,0.2,0.5,0.8,.129,-0.3,2.1,1.8,0.3,,thompau01
123,Jeremiah Fears,19,NOP,PG,11,9,290,12.6,.514,.299,.212,3.1,9.4,5.9,19.6,2.9,0.0,14.8,25.7,-0.2,0.0,-0.2,-0.029,-2.9,-1.8,-4.7,-0.2,,fearsje01
124,Domantas Sabonis,29,SAC,C,9,9,290,16.3,.556,.159,.364,11.3,32.8,21.7,16.6,1.6,0.3,15.6,21.4,0.2,0.2,0.4,.061,-1.0,-0.7,-1.7,0.0,,sabondo01
125,Kevin Huerter,27,CHI,SF,11,2,287,16.7,.615,.454,.227,2.8,12.8,8.0,16.9,1.8,3.1,12.7,21.8,0.3,0.3,0.6,.106,1.1,0.6,1.7,0.3,,huertke01
126,Marcus Smart,31,LAL,SG,10,8,286,10.4,.575,.583,.444,2.2,6.4,4.4,14.7,3.7,0.7,21.8,16.5,0.0,0.3,0.3,.045,-3.4,1.0,-2.4,0.0,,smartma01
