id,firstName,lastName,multiplierBonus
5241753,Jordan,Brathwaite,3
5176751,Jordan,Leaks,3
5105780,Justin,Moore,0.7
5060702,Justin,Begg,3
5196370,Justin,Pippen,3
4433009,Justin,Hohn,1.1
5241491,Justin,Menard,3
4709142,Justin,Rochelin,2.3
5081887,Andrew,Meadow,0.6
5242808,Mario,Andrews,3
4897082,Chase,Tucker,3
5101660,Chase,McCarty,0
5105780,Justin,Moore,0.7
5060702,Justin,Begg,3
5196370,Justin,Pippen,3
4433009,Justin,Hohn,1.1
5241491,Justin,Menard,3
4709142,Justin,Rochelin,2.3
4858609,Osiris,Grady,1.7
5105807,Gregg,Glenn III,0.6
5177096,Greg,Gordon,1.6
5105815,Jaxon,Kohler,0.6
5242636,Jaxon,Hartman,0
4433009,Justin,Hohn,1.1
4432189,Dain,Dainja,0.2
4432430,Rubin,Jones,3
4712866,Isaac,Traudt,2.3
5106285,Pop,Isaacs,0.1
5105863,Isaac,Gard,3
5175691,Isaac,Bonilla,3
5241754,Isaac,Celiscar,1.1
4898260,Tyson,Degenhart,0.1
4683751,Tyrese,Hunter,0.2
5023693,Tyrese,Proctor,0.5
5107226,Tyren,Moore,1.3
5174293,Tyler,Ringgold,2.7
4431764,Tyreek,Smith,0
5149116,Ty,Davis,3
5240285,Tyran,Mason,2.8
4398396,Tyrel,Bladen,3
5245397,Tyruse,Boock,0
4700527,Tyon,Grant-Foster,0.4
5241719,Ty,Iwanonkiw,0
5178892,Tyler,Mack,2.5
4703883,Tyler,McGhie,0
5241377,Tyler,Medaris,0
5175942,Tyre,Patterson,0
4702078,Kellen,Tynes,0
5241382,Tyler,Weaver,0
5238228,Gavin,Paull,3
5105468,Trevan,Leonhardt,1.2
5241234,Kyle,Jorgensen,2.7
4432737,Jaden,Bradley,0.4
4683730,Jaden,Akins,0.5
5061605,Jaden,Steppe,3
5107209,Jaden,Clayton,1.2
4705522,David,McDaniel,3
5174652,Blake,Muschalek,3
5176216,Blake,Anderson,0
4898233,Blake,Peters,1.2
4703883,Tyler,McGhie,0
4897649,Jordan,Gainey,0.5
4894453,Mari,Jordan,1.5
4432512,Jordan,Geronimo,2.2
5241753,Jordan,Brathwaite,3
5176751,Jordan,Leaks,3
4812368,Amarr,Knox,0.5
4897226,Christopher,Mantis,2.5
5061585,Isaiah,Evans,1.4
5144372,Isaiah,Brown,3
4702973,Isaiah,Gray,0.2
4592702,Isaiah,Ihnen,0.7
4433068,J'Wan,Roberts,0.4
5239713,Brandon,Jennings,2.8
5106240,Brandon,Mitchell-Day,0.2
5179095,Mitchell,Taylor,2.6
5242640,Javon,Ervin,2.8
4897517,Aaron,Scott,0.6
5174850,Aaron,Davis,3
4565434,Lok,Wur,1.1
5239713,Brandon,Jennings,2.8
5106240,Brandon,Mitchell-Day,0.2
4894462,Jaylen,Crocker-Johnson,0.8
5105337,Maliq,Brown,1.7
5174293,Tyler,Ringgold,2.7
5181258,Ben,Murphy,3
5239596,Ben,Woodward,2.8
5174658,Bennett,Andersen,0
5106052,Ben,Bayela,0
5175919,Ben,Brown,0
5176396,Ben,Egbo,3
4897676,Bent,Leuchten,0.2
5238227,Ben,Linnemeyer,0
5177264,Nikola,Djapa,3
4898193,Nikola,Dimitrijevic,0
5174672,Michael,Belle,2.9
5241234,Kyle,Jorgensen,2.7
5107567,Kyle,Evans,2.1
5238228,Gavin,Paull,3
4702962,Justice,Ajogbor,1.1
5107385,Avaughn,Johnson,0
5105567,Andre,Johnson Jr.,0
5174972,AJ,LaBeau,0
4897192,AJ,Lopez,0.5
5241720,AJ,Rodriguez,0
4432483,Jalen,DeLoach,1.4
5108141,Anthony,Dell'Orso,1.5
5177579,Delyle,Williams,3
4710352,Malcolm,Dread,3
5105576,Malcolm,Flaggs,0
4897723,Kamari,McGee,1
4703415,Marcus,Fitzgerald Jr.,0
23574,Marcus,Watson Jr.,1.6
4433138,Nimari,Burnett,0.8
5174634,Anthony,Finkley,1.2
5108141,Anthony,Dell'Orso,1.5
5241718,Anthony,Nimani,0
5214641,L.J.,Cason,2.6
4432537,Joe,Bamisile,0.2
5176333,Koree,Cotton,1.5
4873209,Patrick,Ngongba II,2.1
4901675,Patrick,Antonelli,3
5177124,Patrick,Haigh,0
5175920,Patrick,Tivnan Jr.,0
4432257,Darius,Maddox,0.4
4898229,Darius,Gakwasi,3
5239746,Darius,Lopes,0
4432321,Cameron,Sheffield,3
4897018,Camren,Hunter,3
5238229,Campbell,Duncan,3
5175361,Dramane,Camara,0
5107150,Camden,McCormick,0
5241722,Cameron,McNamee,3
4897532,Chad,Baker-Mazara,0.3
5106292,Josiah,Harris,0.7
5106059,Terrance,Arceneaux,1.2
4432257,Darius,Maddox,0.4
4898229,Darius,Gakwasi,3
5239746,Darius,Lopes,0
5174851,Keyshawn,Mitchell,0.4
4897873,Jayme,Mitchell Jr.,0.8
5106240,Brandon,Mitchell-Day,0.2
5179095,Mitchell,Taylor,2.6
5239597,T.J.,Prosise,3
5176783,Traivar,Jackson,0
5108059,Tavari,Johnson,0.5
4898280,Terrance,Jones,3
4898331,TJ,Madlock,0.3
5152623,Connor,Amundsen,0.8
4898192,Connor,Christensen,3
5241490,Connor,Horan,0
4592914,Connor,Withers,0.3
5177104,Jasper,Floyd,0.8
5175359,Josh,Townley-Thomas,3
5106245,Josh,Baldwin,3
5241492,Josh,Michigan,3
4898366,Josh,Ozabor,0
4700859,Josh,Smith,0
5174672,Michael,Belle,2.9
5107807,Michael,Eley,3
5239720,Michael,Amador,0
5177149,Michael,Houge,0.6
5179096,Michael,Teal,1.3
5181258,Ben,Murphy,3
5239596,Ben,Woodward,2.8
5174658,Bennett,Andersen,0
5106052,Ben,Bayela,0
5175919,Ben,Brown,0
5176396,Ben,Egbo,3
4897676,Bent,Leuchten,0.2
5238227,Ben,Linnemeyer,0
4700852,Chaz,Lanier,0.1
4873090,Labaron,Philon,0.3
4897514,Jalen,Lake,0.7
4601284,Latrell,Jossell,1.4
4702484,Latrell,Wrightsell Jr.,0.7
5117524,Cedric,Lath,3
5174635,Will,Lange,3
5239719,Langston,Bailey,0
5247550,Laquan,Hunt,0
5144375,Larry,Johnson,0
5174972,AJ,LaBeau,0
4873196,Ethan,Lathan,0
4897677,Langston,Redfield,3
5241721,Kareem,Thomas,0
4873183,Kam,Williams,0.4
4602029,Keshawn,Williams,2.8
5106287,CJ,Williams,3
5177579,Delyle,Williams,3
5107177,Devean,Williams,0
5106241,Jayden,Williams,0.7
5239715,Khalil,Williams,0
5176662,Makaih,Williams,1.4
4898217,Nazir,Williams,0.3
5061585,Isaiah,Evans,1.4
5144372,Isaiah,Brown,3
4702973,Isaiah,Gray,0.2
4592702,Isaiah,Ihnen,0.7
4433174,Dylan,Cardwell,0.6
4432739,Dylan,Anderson,2.7
5176678,Dylan,Canoville,2.1
5241378,Dylan,Metoyer,0
5106243,Adam,Hinton,3
5241494,Adam,Njie,0.1
4701221,Nicholas,Jourdain,0.8
5240393,Makhi,Myles,3
5176112,Myles,Che,1.3
5105468,Trevan,Leonhardt,1.2
4898278,Nate,Johnson,1.1
4700870,Zach,Anderson,1.9
5239631,Zachary,Royster,3
5107069,Zach,Cleveland,0
5176138,Zach,Halligan,0
5174293,Tyler,Ringgold,2.7
5178892,Tyler,Mack,2.5
4703883,Tyler,McGhie,0
5241377,Tyler,Medaris,0
5241382,Tyler,Weaver,0
5106884,Grayson,Allo,3
5239713,Brandon,Jennings,2.8
5106240,Brandon,Mitchell-Day,0.2
