,Fadeaway Msde,Fadeaway/G,Fadeaway FG%,FGA,GP
2018Deyonta Davis,39,0.629032258,0.975,40,62
2021Jaxson Hayes,39,0.65,0.928571429,42,60
2022Dwight Howard,39,0.65,0.795918367,49,60
2023Bol Bol,39,0.557142857,0.453488372,86,70
2014Tristan Thompson,38,0.463414634,0.745098039,51,82
2015Nerlens Noel,38,0.506666667,0.974358974,39,75
2016JaVale McGee,38,1.117647059,0.95,40,34
2016Kevin Durant,38,0.527777778,0.513513514,74,72
2016Miles Plumlee,38,0.62295082,0.567164179,67,61
2017Carmelo Anthony,38,0.513513514,0.417582418,91,74
2017Patrick McCaw,38,0.535211268,0.279411765,136,71
2017Willie Reed,38,0.535211268,0.644067797,59,71
2019Jerami Grant,38,0.475,0.904761905,42,80
2020Damian Jones,38,0.690909091,0.863636364,44,55
2020Steven Adams,38,0.603174603,0.95,40,63
2023Christian Wood,38,0.567164179,0.612903226,62,67
2014Jeff Teague,37,0.46835443,0.521126761,71,79
2014Victor Oladipo,37,0.4625,0.486842105,76,80
2015DeMar DeRozan,37,0.616666667,0.435294118,85,60
2016Chris Bosh,37,0.698113208,0.627118644,59,53
2016Evan Fournier,37,0.46835443,0.451219512,82,79
2016Jordan Hill,37,0.506849315,0.480519481,77,73
2017Cristiano Felicio,37,0.560606061,0.596774194,62,66
2017Tyson Chandler,37,0.787234043,0.804347826,46,47
2019Richaun Holmes,37,0.528571429,0.880952381,42,70
2021Mason Plumlee,37,0.660714286,0.770833333,48,56
2022Brandon Clarke,37,0.578125,0.973684211,38,64
2023Harrison Barnes,37,0.451219512,0.513888889,72,82
2023Jaden McDaniels,37,0.46835443,0.521126761,71,79
2014Arron Afflalo,36,0.493150685,0.6,60,73
2015Jamal Crawford,36,0.5625,0.537313433,67,64
2015Rudy Gobert,36,0.43902439,0.972972973,37,82
2016Tony Allen,36,0.5625,0.371134021,97,64
2016Will Barton,36,0.43902439,0.423529412,85,82
2019Montrezl Harrell,36,0.43902439,0.666666667,54,82
2021Daniel Theis,36,0.553846154,0.923076923,39,65
2021Dwight Powell,36,0.620689655,0.857142857,42,58
2022Hassan Whiteside,36,0.553846154,0.87804878,41,65
2014Chris Andersen,35,0.486111111,0.972222222,36,72
2014LeBron James,35,0.454545455,0.972222222,36,77
2015Reggie Jackson,35,0.454545455,0.660377358,53,77
2016Kemba Walker,35,0.432098765,0.304347826,115,81
2016Kevin Love,35,0.454545455,0.466666667,75,77
2016Zaza Pachulia,35,0.460526316,0.5,70,76
2017Eric Bledsoe,35,0.53030303,0.432098765,81,66
2017Frank Kaminsky,35,0.466666667,0.411764706,85,75
2017Harrison Barnes,35,0.443037975,0.564516129,62,79
2020Ben Simmons,35,0.614035088,0.972222222,36,57
2020Brandon Clarke,35,0.603448276,0.777777778,45,58
2022Domantas Sabonis,35,0.564516129,0.714285714,49,62
2014James Harden,34,0.465753425,0.5,68,73
2014Jose Calderon,34,0.419753086,0.515151515,66,81
2016Frank Kaminsky,34,0.419753086,0.357894737,95,81
2016Jerami Grant,34,0.441558442,0.314814815,108,77
2016Mason Plumlee,34,0.414634146,0.369565217,92,82
2016Serge Ibaka,34,0.435897436,0.523076923,65,78
2017Amir Johnson,34,0.425,0.53968254,63,80
2017Dwyane Wade,34,0.566666667,0.430379747,79,60
2017Kenneth Faried,34,0.557377049,0.414634146,82,61
2017Nene,34,0.507462687,0.515151515,66,67
2017Russell Westbrook,34,0.419753086,0.290598291,117,81
2018Kevin Durant,34,0.5,0.871794872,39,68
2019Aaron Gordon,34,0.435897436,0.918918919,37,78
2019Jabari Parker,34,0.53125,0.894736842,38,64
2019Joel Embiid,34,0.53125,0.894736842,38,64
2020Dwight Powell,34,0.85,0.918918919,37,40
2023Davion Mitchell,34,0.425,0.447368421,76,80
2023Khris Middleton,34,1.03030303,0.386363636,88,33
2023Scottie Barnes,34,0.441558442,0.350515464,97,77
2014Courtney Lee,33,0.417721519,0.507692308,65,79
2014Joe Johnson,33,0.417721519,0.611111111,54,79
2014Mason Plumlee,33,0.471428571,0.916666667,36,70
2015Jordan Clarkson,33,0.559322034,0.804878049,41,59
2015Mason Plumlee,33,0.402439024,0.868421053,38,82
2016Willie Cauley-Stein,33,0.5,0.785714286,42,66
2017Andre Roberson,33,0.417721519,0.532258065,62,79
2017Boris Diaw,33,0.452054795,0.622641509,53,73
2017Cody Zeller,33,0.532258065,0.366666667,90,62
2017James Johnson,33,0.434210526,0.417721519,79,76
2017Lucas Nogueira,33,0.578947368,0.891891892,37,57
2018Karl-Anthony Towns,33,0.402439024,0.673469388,49,82
2018Kristaps Porzingis,33,0.6875,0.846153846,39,48
2019Karl-Anthony Towns,33,0.428571429,0.970588235,34,77
2020Alex Len,33,0.6,0.846153846,39,55
2020Christian Wood,33,0.532258065,0.846153846,39,62
2021Brandon Clarke,33,0.559322034,0.846153846,39,59
2022Damian Jones,33,0.589285714,0.868421053,38,56
2022Jimmy Butler,33,0.578947368,0.647058824,51,57
2023Bogdan Bogdanovic,33,0.611111111,0.428571429,77,54
2023Cameron Johnson,33,0.785714286,0.44,75,42
2023Mark Williams,33,0.76744186,0.970588235,34,43
2015Al Horford,32,0.421052632,0.941176471,34,76
2015James Harden,32,0.395061728,0.463768116,69,81
2015Jeff Teague,32,0.438356164,0.5,64,73
2016Darren Collison,32,0.432432432,0.390243902,82,74
2016Ryan Anderson,32,0.484848485,0.376470588,85,66
2017Kyrie Irving,32,0.444444444,0.415584416,77,72
2020Jabari Parker,32,0.842105263,0.914285714,35,38
