RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Midrange Talent,Midrange Shot Making,Midrange Shot Creation,Midrange Pull Up Talent,Midrange Pull Up Shot Making,Midrange Pull Up Shot Making Efficiency,Stable Long Midrange FG%,Stable Short Midrange FG%,Midrange FGM Per 75,Midrange Pull Up FGM Per 75,Midrange Talent_percentile,Midrange Shot Making_percentile,Midrange Shot Creation_percentile,Midrange Pull Up Talent_percentile,Midrange Pull Up Shot Making_percentile,Midrange Pull Up Shot Making Efficiency_percentile,Stable Long Midrange FG%_percentile,Stable Short Midrange FG%_percentile,Midrange FGM Per 75_percentile,Midrange Pull Up FGM Per 75_percentile,Midrange Shot Making Efficiency,Midrange Pull Up FG%,Midrange Shot Making Efficiency_percentile,Midrange Pull Up FG%_percentile
3359,2024-25,Dereck Lively II,20,DAL,833,Key Rotation,Roll + Cut Big,Mobile Big,-0.4,0.23,-1.97,-0.62,0.18,0.27,41.29,48.19,,0,55.3,81.45,1.99,36.21,80.06,83.52,68.32,97.47,,0,0.22,0,81.72,0
3360,2025-26,Dereck Lively II,21,DAL,115,Too Few Games,Athletic Finisher,Anchor Big,-1.01,-0.19,-2.23,-0.84,-0.06,-0.71,41.24,44.49,,0,6.47,36.17,0.54,14.56,55.48,38.48,66.22,84.74,,0,-0.96,0,23.08,0
3361,2023-24,Dariq Whitehead,19,BRK,24,Too Few Games,Low Minute,Chaser,-0.68,0,-1.15,-0.66,0,-0.77,42.07,43.85,,1.39,28.35,65.88,19.47,31.3,66.52,34.63,81.68,78.66,,87.01,-0.76,100,34.03,97.76
3362,2024-25,Dariq Whitehead,20,BRK,246,Garbage Time,Movement Shooter,Chaser,-0.65,-0.32,-0.24,-0.66,-0.31,-1.29,40.43,44.25,,0,31.62,21.89,54.87,31.3,21.93,11.65,48.03,82.65,,0,-1.23,0,13.18,0
3363,2023-24,Brice Sensabaugh,20,UTA,584,Rotation,Movement Shooter,Chaser,0,0.09,0.33,0.02,0.07,-0.21,41.87,45.64,2.42,0.93,76.35,74.98,75.93,77.12,74.33,67.31,79.02,90.95,82.12,77.05,-0.13,40.54,69.72,62.17
3364,2024-25,Brice Sensabaugh,21,UTA,1432,Key Rotation,Movement Shooter,Low Activity,0.05,0.14,0.25,0.12,0.21,0.3,40.48,47.71,1.96,0.84,77.88,78.26,73.63,79.74,80.87,84.38,48.99,96.83,71.72,74.52,0.17,41.98,80.24,66.57
3365,2025-26,Brice Sensabaugh,22,UTA,1749,Key Rotation,Movement Shooter,Helper,0.42,0.43,0.36,0.5,0.51,0.55,42.52,48.18,2.75,0.9,86.14,86.48,76.98,87.34,88.03,88.69,88.75,97.43,86.8,76.33,0.48,45,87.36,75.92
3366,2023-24,Noah Clowney,19,BRK,370,Rotation,Stretch Big,Mobile Big,-0.86,-0.2,-1.78,-0.86,-0.29,-1.26,42.07,42.54,,0,12.98,34.96,4.72,13.25,23.62,12.67,81.68,65.9,,0,-0.9,0,26.16,0
3367,2024-25,Noah Clowney,20,BRK,1042,Key Rotation,Movement Shooter,Helper,-0.96,-0.67,-0.58,-0.97,-0.67,-1.87,40.84,37.3,0.4,0.11,7.82,5.6,41.43,8.12,5.31,2.52,57.92,21.24,22.44,38.96,-1.75,18.75,3.56,22.23
3368,2025-26,Noah Clowney,21,BRK,1780,Starter,Movement Shooter,Wing Stopper,0.23,0.47,0.21,0.3,0.49,0.81,39.56,45.25,1.24,0.19,82.65,87.15,72.28,83.99,87.58,92.71,31.11,89.28,50.92,45.55,0.83,33.33,92.56,38.25
