Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
2025-26,1630170,Devin Vassell,1610612759,SAS,26,19,7,836.0,411,1256,749,53.6,2.56,1.89,0.327,8,1,7,0.25,0.0,0.286
2025-26,1628415,Dillon Brooks,1610612756,PHX,21,12,9,648.0,455,995,559,54.0,3.26,2.55,0.457,9,22,25,1.222,0.818,1.0
2025-26,1627734,Domantas Sabonis,1610612758,SAC,11,2,9,365.0,189,793,471,24.2,1.83,0.87,0.238,103,20,128,0.66,0.45,0.891
2025-26,1631230,Dominick Barlow,1610612755,PHI,16,9,7,430.0,131,551,331,14.1,1.54,0.76,0.238,14,0,61,0.429,0.0,0.754
2025-26,1642270,Donovan Clingan,1610612757,POR,22,10,12,552.0,213,765,486,20.1,1.58,0.35,0.278,28,7,197,0.571,0.571,0.766
2025-26,1628378,Donovan Mitchell,1610612739,CLE,26,14,12,895.0,799,1978,830,147.9,4.49,4.08,0.404,7,0,27,0.857,0.0,0.63
2025-26,1628978,Donte DiVincenzo,1610612750,MIN,27,17,10,853.0,374,1576,935,54.0,2.06,1.33,0.237,7,0,25,0.571,0.0,0.4
2025-26,203926,Doug McDermott,1610612758,SAC,2,0,2,11.0,6,14,9,0.3,1.27,0.14,0.429,0,0,0,0.0,0.0,0.0
2025-26,1642962,Drake Powell,1610612751,BKN,19,6,13,337.0,114,506,246,30.6,3.62,3.09,0.225,3,0,2,1.333,0.0,2.0
2025-26,203110,Draymond Green,1610612744,GSW,22,10,12,623.0,181,1601,817,55.4,2.08,1.21,0.113,37,2,50,0.081,0.0,0.44
2025-26,1629234,Drew Eubanks,1610612758,SAC,25,6,19,360.0,133,403,259,11.2,1.67,0.65,0.33,48,5,93,0.604,0.4,0.892
2025-26,1641809,Drew Peterson,1610612766,CHA,6,1,5,64.0,5,78,48,2.5,1.9,1.09,0.064,2,0,3,0.0,0.0,0.0
2025-26,1631166,Drew Timme,1610612747,LAL,2,1,1,8.0,2,14,8,0.5,2.08,0.71,0.143,0,0,2,0.0,0.0,1.0
2025-26,1630696,Dru Smith,1610612748,MIA,25,14,11,429.0,153,909,413,48.4,3.19,2.84,0.168,18,1,23,0.722,0.0,0.652
2025-26,1629130,Duncan Robinson,1610612765,DET,24,19,5,727.0,279,877,637,24.1,1.65,0.62,0.318,4,0,11,1.5,0.0,0.727
2025-26,1641871,Duop Reath,1610612757,POR,20,9,11,169.0,75,199,124,5.2,1.57,0.51,0.377,6,2,11,1.0,1.5,0.818
2025-26,203939,Dwight Powell,1610612742,DAL,22,8,14,256.0,61,290,188,7.7,1.58,0.68,0.21,33,0,52,0.485,0.0,0.635
2025-26,1642928,Dylan Cardwell,1610612758,SAC,3,1,2,33.0,5,28,19,0.6,1.28,0.39,0.179,2,1,8,0.0,0.0,0.5
2025-26,1642844,Dylan Harper,1610612759,SAS,16,13,3,351.0,220,751,330,58.0,4.64,4.12,0.293,3,0,16,0.667,0.0,0.438
2025-26,1630700,Dyson Daniels,1610612737,ATL,28,15,13,953.0,327,1903,864,109.1,3.44,2.87,0.172,46,1,129,0.891,0.0,0.705
2025-26,1630604,E.J. Liddell,1610612751,BKN,7,1,6,32.0,14,40,27,1.3,1.95,1.22,0.35,2,0,3,0.5,0.0,1.667
2025-26,1642856,Egor Dëmin,1610612751,BKN,24,7,17,554.0,209,1269,506,77.0,3.64,3.23,0.165,9,0,12,0.667,0.0,0.333
