Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2025-26,1641774,Tristan Vukcevic,1610612764,WAS,F,22.0,21,17,0.329,1.0,2.43,0.412,0.356,0.055
2025-26,1641716,Jarace Walker,1610612754,IND,F,22.0,28,26,0.318,0.61,2.43,0.25,0.352,-0.102
2025-26,1628467,Maxi Kleber,1610612747,LAL,F,33.0,12,11,0.382,1.42,2.42,0.586,0.373,0.213
2025-26,1642354,KJ Simpson,1610612766,CHA,G,23.0,12,12,0.299,0.92,2.42,0.379,0.358,0.021
2025-26,1631321,Sidy Cissoko,1610612757,POR,G,21.0,22,22,0.368,1.0,2.41,0.415,0.343,0.072
2025-26,1628420,Monte Morris,1610612754,IND,G,30.0,5,4,0.414,0.2,2.4,0.083,0.331,-0.248
2025-26,1641740,Jaylen Clark,1610612750,MIN,G,24.0,24,21,0.375,0.5,2.38,0.211,0.359,-0.149
2025-26,1628379,Luke Kennard,1610612737,ATL,G,29.0,26,22,0.33,1.0,2.38,0.419,0.337,0.082
2025-26,1628396,Tony Bradley,1610612754,IND,C-F,27.0,19,17,0.421,1.05,2.37,0.444,0.352,0.092
2025-26,1628975,Jevon Carter,1610612741,CHI,G,30.0,14,13,0.446,0.86,2.36,0.364,0.372,-0.008
2025-26,1641733,Nick Smith Jr.,1610612747,LAL,G,21.0,11,10,0.5,0.73,2.36,0.308,0.368,-0.06
2025-26,1631123,Jamaree Bouyea,1610612756,PHX,G,26.0,12,10,0.4,1.0,2.33,0.429,0.375,0.054
2025-26,1641989,Elijah Harkless,1610612762,UTA,G,25.0,6,5,0.452,1.0,2.33,0.429,0.361,0.068
2025-26,1628380,Zach Collins,1610612741,CHI,F-C,28.0,6,5,0.304,1.0,2.33,0.429,0.338,0.091
