id,Name,firstName,lastName,normalized_name
30852,Ryo Ishikawa,Ryo,Ishikawa,ryo ishikawa
26331,Charl Schwartzel,Charl,Schwartzel,charl schwartzel
58188,James Nicholas,James,Nicholas,james nicholas
45779,Brett Webster,Brett,Webster,brett webster
37446,Jacques Kruyswijk,Jacques,Kruyswijk,jacques kruyswijk
53912,Danny List,Danny,List,danny list
58391,Jared Jones,Jared,Jones,jared jones
31202,William McGirt,William,McGirt,william mcgirt
27330,Josh Teater,Josh,Teater,josh teater
51635,Chris Nido,Chris,Nido,chris nido
30110,Kyle Stanley,Kyle,Stanley,kyle stanley
65417,Connor Creasy,Connor,Creasy,connor creasy
60767,"Blaine Hale, Jr.",Blaine,"Hale, Jr.",blaine hale jr
63806,Hunter Logan,Hunter,Logan,hunter logan
69500,Tyler Watts,Tyler,Watts,tyler watts
59243,Connor Howe,Connor,Howe,connor howe
64561,Alejandro Madariaga,Alejandro,Madariaga,alejandro madariaga
35181,Daniel van Tonder,Daniel,van Tonder,daniel van tonder
35449,Adam Long,Adam,Long,adam long
28679,Fabián Gómez,Fabián,Gómez,fabian gomez
50157,"Philip Barbaree, Jr.",Philip,"Barbaree, Jr.",philip barbaree jr
54608,Dillon Board,Dillon,Board,dillon board
58658,Peter Knade,Peter,Knade,peter knade
35230,Nelson Ledesma,Nelson,Ledesma,nelson ledesma
65562,Randall Hudson,Randall,Hudson,randall hudson
23623,Bo Van Pelt,Bo,Van Pelt,bo van pelt
45618,Evan Beck,Evan,Beck,evan beck
68020,Connor Williams,Connor,Williams,connor williams
29289,S.Y. Noh,S.Y.,Noh,s y noh
49855,Kristoffer Reitan,Kristoffer,Reitan,kristoffer reitan
33735,Gabe Reynolds,Gabe,Reynolds,gabe reynolds
28593,Jesse Mueller,Jesse,Mueller,jesse mueller
68021,Reinaldo Simoni,Reinaldo,Simoni,reinaldo simoni
67652,Mao Matsuyama,Mao,Matsuyama,mao matsuyama
27408,Martin Kaymer,Martin,Kaymer,martin kaymer
60369,Sam Bairstow,Sam,Bairstow,sam bairstow
66246,Kelvin Hernandez,Kelvin,Hernandez,kelvin hernandez
66862,Patrick Pockels,Patrick,Pockels,patrick pockels
23814,Edoardo Molinari,Edoardo,Molinari,edoardo molinari
68612,Tyler Weaver,Tyler,Weaver,tyler weaver
59005,Evan Brown,Evan,Brown,evan brown
56625,Max Sear,Max,Sear,max sear
28780,Nicholas Thompson,Nicholas,Thompson,nicholas thompson
54364,Stephen Stallings Jr.,Stephen,Stallings Jr.,stephen stallings jr
56297,John Somers,John,Somers,john somers
59567,Emilio Gonzalez,Emilio,Gonzalez,emilio gonzalez
24140,Sean O'Hair,Sean,O'Hair,sean o hair
25834,Daniel Summerhays,Daniel,Summerhays,daniel summerhays
24846,Ricky Barnes,Ricky,Barnes,ricky barnes
68606,Frankie Harris,Frankie,Harris,frankie harris
51836,Michael Kartrude,Michael,Kartrude,michael kartrude
64692,Erich Fortlage,Erich,Fortlage,erich fortlage
65545,Dawson Jones,Dawson,Jones,dawson jones
40042,Tyler McCumber,Tyler,McCumber,tyler mccumber
28259,Sangmoon Bae,Sangmoon,Bae,sangmoon bae
54788,Chandler Blanchet,Chandler,Blanchet,chandler blanchet
34126,Scott Vincent,Scott,Vincent,scott vincent
54404,David Longmire,David,Longmire,david longmire
20396,Lee Westwood,Lee,Westwood,lee westwood
65587,Andre Chi,Andre,Chi,andre chi
33689,Jinichiro Kozuma,Jinichiro,Kozuma,jinichiro kozuma
46732,Rick Lamb,Rick,Lamb,rick lamb
51366,Riki Kawamoto,Riki,Kawamoto,riki kawamoto
1666,Bernhard Langer,Bernhard,Langer,bernhard langer
68022,Gustavo Rangel,Gustavo,Rangel,gustavo rangel
30978,Kiradech Aphibarnrat,Kiradech,Aphibarnrat,kiradech aphibarnrat
37410,Hiram Silfa,Hiram,Silfa,hiram silfa
12309,Bob Sowards,Bob,Sowards,bob sowards
68614,Lance Simpson,Lance,Simpson,lance simpson
24494,Erik Compton,Erik,Compton,erik compton
1928,Corey Pavin,Corey,Pavin,corey pavin
57860,Maxwell Moldovan,Maxwell,Moldovan,maxwell moldovan
51458,Preston Cole,Preston,Cole,preston cole
46301,JJ Guerra,JJ,Guerra,jj guerra
55741,Hiroshi Tai,Hiroshi,Tai,hiroshi tai
56264,Manuel Torres,Manuel,Torres,manuel torres
6515,Shaun Micheel,Shaun,Micheel,shaun micheel
37250,Romain Langasque,Romain,Langasque,romain langasque
46581,Ryan Lenahan,Ryan,Lenahan,ryan lenahan
68159,Connor Doyal,Connor,Doyal,connor doyal
60895,Kris Kim,Kris,Kim,kris kim
24219,Wes Heffernan,Wes,Heffernan,wes heffernan
59570,Tyler Collet,Tyler,Collet,tyler collet
50006,Willie Mack III,Willie,Mack III,willie mack iii
58696,Peter Kuest,Peter,Kuest,peter kuest
1378,David Frost,David,Frost,david frost
45426,Nathan Kimsey,Nathan,Kimsey,nathan kimsey
29970,Dylan Frittelli,Dylan,Frittelli,dylan frittelli
59865,Cameron Tankersley,Cameron,Tankersley,cameron tankersley
30944,Jason Kokrak,Jason,Kokrak,jason kokrak
59657,Joey Herrera,Joey,Herrera,joey herrera
36852,Jim Knous,Jim,Knous,jim knous
1226,Fred Couples,Fred,Couples,fred couples
12195,Tom Johnson,Tom,Johnson,tom johnson
46125,Eric Steger,Eric,Steger,eric steger
50762,Alejandro Del Rey,Alejandro,Del Rey,alejandro del rey
34656,Mikumu Horikawa,Mikumu,Horikawa,mikumu horikawa
52585,Frederic LaCroix,Frederic,LaCroix,frederic lacroix
28475,Jeff Overton,Jeff,Overton,jeff overton
6373,José María Olazábal,José María,Olazábal,jose maria olazabal
61065,Brandon Bingaman,Brandon,Bingaman,brandon bingaman
45733,Austen Truslow,Austen,Truslow,austen truslow
48001,Zach Bauchou,Zach,Bauchou,zach bauchou
60065,Ryan Hall,Ryan,Hall,ryan hall
55417,Timothy Wiseman,Timothy,Wiseman,timothy wiseman
68607,Mason Howell,Mason,Howell,mason howell
51449,Dylan Newman,Dylan,Newman,dylan newman
32698,Bobby Gates,Bobby,Gates,bobby gates
60567,Harrison Ott,Harrison,Ott,harrison ott
21528,Henrik Stenson,Henrik,Stenson,henrik stenson
32335,Brian Bergstol,Brian,Bergstol,brian bergstol
50493,Justin Suh,Justin,Suh,justin suh
1139,Olin Browne,Olin,Browne,olin browne
29485,Brett Stegmaier,Brett,Stegmaier,brett stegmaier
