NBA_ID,Season,Player,Free Throw Rating
2863,2017-18,Damien Wilkins,75.74692230874048
101106,2013-14,Andrew Bogut,62.02687189982649
101106,2014-15,Andrew Bogut,69.77639220169354
101106,2015-16,Andrew Bogut,44.715273199400755
101106,2016-17,Andrew Bogut,40.84413221612235
101106,2017-18,Andrew Bogut,77.9454835195425
101106,2018-19,Andrew Bogut,77.22973960987551
101107,2013-14,Marvin Williams,78.82215763952753
101107,2014-15,Marvin Williams,76.64144451701023
101107,2015-16,Marvin Williams,85.35689875856052
101107,2016-17,Marvin Williams,87.96511407501215
101107,2017-18,Marvin Williams,85.00314485831765
101107,2018-19,Marvin Williams,78.72525378731098
101107,2019-20,Marvin Williams,86.34391133314067
101108,2013-14,Chris Paul,83.30303483898173
101108,2014-15,Chris Paul,83.87053530590741
101108,2015-16,Chris Paul,92.22952312559204
101108,2016-17,Chris Paul,91.1162537913843
101108,2017-18,Chris Paul,95.49150513658711
101108,2018-19,Chris Paul,87.83147364228739
101108,2019-20,Chris Paul,93.7791534040526
101108,2020-21,Chris Paul,97.09445629763813
101108,2021-22,Chris Paul,86.23290520961886
101108,2022-23,Chris Paul,85.6899485312039
101108,2023-24,Chris Paul,84.2723611655535
101108,2024-25,Chris Paul,92.29690082874593
101108,2025-26,Chris Paul,67.9501259211776
101109,2013-14,Raymond Felton,77.2028162344034
101109,2014-15,Raymond Felton,76.45485354328457
101109,2015-16,Raymond Felton,86.62843799799167
