NBA ID,Season,Player,3-Point Shot Rating,,Three-Point Shot,FG3A,3PT Shooting Talent,3PT Shot Making,C&S 3PT Shot Making,3PT Pull Up Talent,3PT Pull Up Shot Making,3PT Pull Up Shot Creation,3PT Shot Creation,3PT Shot Making Efficiency,C&S 3PT Shot Making Efficiency,Stable FG3%,Stable C&S 3PT%,Stable ATB 3PT%,Stable Pull Up 3PT%,FG3M,3PT Functional Versatility,Stable 3PTA Per 75,Off-Ball Gravity,Stable Corner 3PT%,3PT Attempt Rate,FG3_PCT
201162,2015-16,Jared Dudley,81.79078174795436,0.861824491782287,0.3865809104639285,2.9,0.7299546884118887,1.1017207597777052,1.503804204262003,-0.3075798758851066,-0.04366831822960605,-0.9339584626930988,-0.7371758841240754,1.3990650461450933,1.4494427098397815,1.6183294710769787,-0.30974031505274047,1.359738442992806,-1.854049254181459,0.38570859631189747,0.15073987964087976,-0.198327349035436,-0.47584374437264504,1.5035505347742295,0.502336212633379,0.8772563898752929
201162,2016-17,Jared Dudley,78.89852173845966,0.5232137783296281,0.09786517932063703,3.2,0.285629968355229,0.1480045987075194,-0.04828641834103288,-0.07944104477884976,0.467388725665919,-1.3270167993784228,-0.6417573124769814,0.35277199982897695,0.07236693296763048,0.6551474069976602,-0.30974031505274047,1.9018600721654249,0.5403930893831218,0.38570859631189747,-0.12320890851139127,0.22261363499910314,0.04269306335204403,-1.9242085146128953,0.9419323229879285,0.605251873529627
201162,2017-18,Jared Dudley,76.98391484753755,0.3143024151442789,-0.08026266652093456,1.7,-0.08093792569151533,-0.05374305074963527,0.03915530687603959,-0.5737418455090728,-0.22142729001935388,-1.3031950820035547,-0.713321241212302,0.05022943221949756,0.1840217256869941,0.15841200288128088,-0.30974031505274047,-0.33082505850602134,-0.3427282312471602,-0.3343642701794697,-0.5341320907397977,-0.1759765003256376,-0.3462095424414728,0.9799620852751775,1.2514438700742945,0.4991037695898547
201162,2018-19,Jared Dudley,75.72853385154897,0.17732215228591056,-0.1970586070276525,2.6,-0.22534345970992978,-0.34719417723276935,-0.6385180635562718,-0.16816170132017186,0.26740988240245267,-1.160264777754346,-0.7491032055799622,-0.30273689665822845,-0.6099679114284804,-0.08995569917691096,-0.30974031505274047,-0.3878904931557747,0.34920187563842053,0.025672163066213977,-0.9450552729682041,-0.06794739822827797,-0.534768381614087,0.06542759348349833,1.1442362472429302,0.41949269163502556
201162,2019-20,Jared Dudley,69.70225465764157,-0.3139269185446219,-0.6159211208923508,0.9,-1.0365054536858493,0.03389212580330912,0.02224023656672215,-1.3075798758851067,-1.0658881897033246,-1.6957412889444177,-1.6775392768446418,0.19291350737562765,0.2163025494823388,0.26750587268485915,-1.3097403150527405,0.08481773160666276,-1.151537017502459,-1.5743885590099254,-1.4245525754788892,-1.1610759345191053,-1.2401451954068774,0.3571961800828022,0.5285830483209941,0.34152363254544565
201162,2020-21,Jared Dudley,66.95371315946346,-0.5074752113976209,-0.7809496762880209,0.5,-1.325316521722678,-1.0354023553444394,-1.1794490061666416,-1.2568823578614938,6.202254731360513e-05,-1.5885435607575111,-1.4867021335504536,-1.0506180903169955,-1.1633487405510259,0.05413498054057343,-1.3097403150527405,0.05656026993946312,0.07638711921156158,-1.8144128478403811,0.007714389809638218,-1.6229934745216084,-1.558338236510664,0.022660269869825892,0.10458321776619334,0.024126116406103685
201163,2013-14,Wilson Chandler,86.65688386881635,1.5984113795208184,1.0146302113131296,5.7,,,,,,,,,,,,,,1.3458057516337205,,,,,,0.3995899221463182
201163,2014-15,Wilson Chandler,85.12537890242662,1.3990937993808261,0.8446824849312385,5.2,,,,,,,,,,,,,,1.1057814628032647,,,,,,0.35978438316890404
201163,2016-17,Wilson Chandler,79.50756886647594,0.593856959149347,0.15809894272607167,4.6,0.6633059804033898,0.5698405930270246,0.4982243642656699,0.554277930516308,0.467388725665919,0.18566225392570265,0.0023180461409036393,0.6427086271213946,0.48176783960529707,-0.6593840892615394,-0.30974031505274047,0.2041633913353803,-0.17885004803741722,0.7457450295575812,0.726032334760649,0.2598650495154342,0.466950451490426,-2.0149638458593997,-0.1323867426234447,0.3266131006877252
201163,2017-18,Wilson Chandler,79.18838127540891,0.5563957517783112,0.12615772100465328,3.3,0.3744949123665609,0.5331592022166328,1.2196185973065177,-0.421649291438235,-0.7324843339148789,-0.18357436538475316,-0.1885190971532845,0.7183442690237646,1.164102684001408,0.05543027275959146,-0.30974031505274047,0.7534181998392165,-1.1621191472958752,0.38570859631189747,0.8904016076520116,-0.2989061682295294,0.5023052338352912,-1.2121282232941875,0.05915156260246623,0.46593248710867585
